id,cod_municipio,cod_vereda,departamento,municipio,vereda,vigencia,fuente,descripcion,seudonimos,area_ha,cod_dpto,observaciones
2,27810,27810007,CHOCÓ,UNIÓN PANAMERICANA,SAN RAFAEL EL DOS,2010,ESRI,CON CENTRO POBLADO,1,"2562,613364",27,
3,27810,27810003,CHOCÓ,UNIÓN PANAMERICANA,PLAN DE RASPADURA,2010,ESRI,CON CENTRO POBLADO,1,"1180,626499",27,
4,27810,27810004,CHOCÓ,UNIÓN PANAMERICANA,QUIADÓ,2010,ESRI,NULL,1,"1592,758604",27,
7,27810,27810005,CHOCÓ,UNIÓN PANAMERICANA,SALERO,2010,ESRI,NULL,1,"3908,101166",27,
10,27800,27800003,CHOCÓ,UNGUÍA,SANTA MARIA,INDF,POT,CON CENTRO POBLADO,1,"24529,549",27,
16,27787,27787006,CHOCÓ,TADÓ,CHARCO NEGRO,INDF,DESCONOCIDA,SE REDUJO EN 70% DEL AREA INICIAL,1,"340,0315562",27,
18,27787,27787008,CHOCÓ,TADÓ,EL TAPÓN,INDF,DESCONOCIDA,NULL,1,"1121,684089",27,
19,27787,27787009,CHOCÓ,TADÓ,ESPERANZA,INDF,DESCONOCIDA,SE REDUJO EN 70% DEL AREA INICIAL,1,"990,4467391",27,
23,27787,27787010,CHOCÓ,TADÓ,IBORDÓ,INDF,DESCONOCIDA,SE REDUJO EN 50% DEL AREA INICIAL,1,"1217,373098",27,
24,27787,27787016,CHOCÓ,TADÓ,YERRECUY,INDF,DESCONOCIDA,"AUMENTO EN UN 40% DE SU AREA INICIAL, CONTIENE CP",1,"3511,528673",27,
26,27787,27787017,CHOCÓ,TADÓ,OSCORDO,2017,IGAC_2016,SE REDUJO EN 80% DEL AREA INICIAL,1,"29518,19654",27,
27,27745,27745002,CHOCÓ,SIPÍ,274058,2013,CODIGO POSTAL,NULL,1,"62052,87859",27,
29,27660,27660001,CHOCÓ,SAN JOSÉ DEL PALMAR,SIN DEFINIR,2017,IGAC 2016,NULL,1,"68363,7271",27,CAPTURADO DE LA CAPA DE VEREDA DEL IGAC
31,27615,27615050,CHOCÓ,RIOSUCIO,SIN DEFINIR,INDF,ESRI,NULL,1,"18875,7268",27,
32,27615,27615061,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615061),INDF,ESRI,NULL,1,"12429,9018",27,
33,27615,27615063,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615063),INDF,ESRI,NULL,1,"9188,08404",27,
34,27615,27615062,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615062),INDF,ESRI,NULL,1,"10645,01468",27,
35,27615,27615060,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615060),INDF,ESRI,NULL,1,"10142,60582",27,
36,27615,27615057,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615057),2017,ESRI,,1,"9802,789219",27,CAMBIO DE FORMA POR LIMITE MUNICIPAL IGAC_2016
37,27615,27615058,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615058),INDF,ESRI,NULL,1,"11250,382",27,
38,27615,27615059,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615059),INDF,ESRI,NULL,1,"1392,869018",27,
39,27615,27615056,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615056),INDF,ESRI,NULL,1,"2442,354527",27,
40,27615,27615054,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615054),INDF,ESRI,NULL,1,"10582,30998",27,
41,27615,27615055,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615055),INDF,ESRI,NULL,1,"4105,928736",27,
42,27615,27615053,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615053),INDF,ESRI,NULL,1,"2076,996",27,
43,27615,27615023,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615023),INDF,ESRI,NULL,1,"12240,88894",27,
44,27615,27615016,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615016),INDF,ESRI,NULL,1,"19038,55947",27,
45,27615,27615052,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615052),INDF,ESRI,NULL,1,"3530,113798",27,
46,27615,27615051,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615051),INDF,ESRI,NULL,1,"8342,702869",27,
47,27615,27615049,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615049),INDF,ESRI,NULL,1,"10596,92666",27,
48,27615,27615048,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615048),INDF,ESRI,NULL,1,"15333,15358",27,
49,27615,27615047,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615047),INDF,ESRI,NULL,1,"2261,787413",27,
50,27615,27615046,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615046),INDF,ESRI,NULL,1,"14667,37707",27,
51,27615,27615022,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615022),INDF,ESRI,NULL,1,"2235,780393",27,
52,27615,27615045,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615045),INDF,ESRI,NULL,1,"9793,114603",27,
53,27615,27615076,CHOCÓ,RIOSUCIO,ANTAZALES,INDF,ESRI,NULL,1,"12270,90104",27,
54,27615,27615044,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615044),INDF,ESRI,NULL,1,"248,7659868",27,
55,27615,27615033,CHOCÓ,RIOSUCIO,LA PRIMAVERA,INDF,ESRI,NULL,1,"1749,678254",27,
56,27615,27615007,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615007),INDF,ESRI,NULL,1,"10421,58004",27,
57,27615,27615006,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615006),INDF,ESRI,NULL,1,"14652,27531",27,
58,27615,27615042,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615042),INDF,ESRI,NULL,1,"464,911732",27,
59,27615,27615041,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615041),INDF,ESRI,NULL,1,"112,6079089",27,
60,27615,27615066,CHOCÓ,RIOSUCIO,BELEN DE BAJIRÁ,2017,ESRI,NULL,1,"12804,75222",27,
61,27615,27615040,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615040),INDF,ESRI,NULL,1,"9655,220411",27,
62,27615,27615039,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615039),INDF,ESRI,NULL,1,"10282,50086",27,
63,27615,27615037,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615037),INDF,ESRI,NULL,1,"14418,5356",27,
64,27615,27615093,CHOCÓ,RIOSUCIO,LOS CEDROS,2017,IGAC_2016,NULL,1,"2385,767365",27,CAMBIO DEPARTAMENTAL
65,27615,27615074,CHOCÓ,RIOSUCIO,EUGENIA ABAJO,INDF,ESRI,NULL,1,"2256,71966",27,
66,27615,27615072,CHOCÓ,RIOSUCIO,EUGENIA ARRIBA,INDF,ESRI,NULL,1,"233,1566978",27,
67,27615,27615005,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615005),INDF,ESRI,NULL,1,"12683,46422",27,
68,27615,27615088,CHOCÓ,RIOSUCIO,NUEVA ESPERANZA,2017,IGAC_2016,NULL,1,"6063,592969",27,CAMBIO DEPARTAMENTAL
69,27615,27615071,CHOCÓ,RIOSUCIO,EUGENIA MEDIA,INDF,ESRI,NULL,1,"1150,576759",27,
70,27615,27615075,CHOCÓ,RIOSUCIO,TIERRADENTRO,INDF,ESRI,NULL,1,"17371,255",27,
71,27615,27615068,CHOCÓ,RIOSUCIO,EL CAIMAN,INDF,ESRI,NULL,1,"1366,06904",27,
72,27615,27615069,CHOCÓ,RIOSUCIO,GUACAMAYA,INDF,ESRI,NULL,1,"1394,995822",27,
73,27615,27615013,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615013),INDF,ESRI,NULL,1,"10079,45433",27,
75,27615,27615014,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615014),INDF,ESRI,NULL,1,"14846,87632",27,
76,27615,27615002,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615002),INDF,ESRI,NULL,1,"17434,97633",27,
77,27615,27615011,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615011),INDF,ESRI,NULL,1,"17661,68752",27,
78,27615,27615032,CHOCÓ,RIOSUCIO,TUMARADOCITO,INDF,ESRI,NULL,1,"22434,09726",27,
79,27615,27615065,CHOCÓ,RIOSUCIO,EL CEDRO,2017,ESRI,NULL,1,"1561,245218",27,
80,27615,27615031,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615031),INDF,ESRI,NULL,1,"11122,04187",27,
81,27615,27615030,CHOCÓ,RIOSUCIO,LA FLORIDA,INDF,ESRI,NULL,1,"5587,006151",27,
82,27615,27615029,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615029),INDF,ESRI,NULL,1,"15674,89984",27,
83,27615,27615028,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615028),INDF,ESRI,NULL,1,"13546,89888",27,
84,27615,27615026,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615026),INDF,ESRI,NULL,1,"8016,402138",27,
85,27615,27615025,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615025),INDF,ESRI,NULL,1,"8456,789531",27,
86,27615,27615024,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615024),INDF,ESRI,NULL,1,"313,6112258",27,
87,27615,27615004,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615004),INDF,ESRI,NULL,1,"98623,73298",27,
88,27615,27615001,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615001),INDF,ESRI,NULL,1,"13117,08139",27,
89,27615,27615020,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615020),INDF,ESRI,NULL,1,"993,0995577",27,
90,27615,27615009,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615009),INDF,ESRI,NULL,1,"64594,18302",27,
91,27615,27615019,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615019),INDF,ESRI,NULL,1,"7816,844689",27,
92,27615,27615064,CHOCÓ,RIOSUCIO,PUEBLO REGADO,INDF,ESRI,NULL,1,"42180,12683",27,
93,27615,27615017,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615017),INDF,ESRI,NULL,1,"13753,01196",27,
94,27615,27615018,CHOCÓ,RIOSUCIO,SIN DEFINIR (27615018),INDF,ESRI,NULL,1,"10348,00149",27,
95,27600,27600062,CHOCÓ,RÍO QUITO,SIN DEFINIR,INDF,ESRI,NULL,1,"747,2788944",27,
96,27600,27600044,CHOCÓ,RÍO QUITO,SIN DEFINIR (27600044),INDF,ESRI,NULL,1,"1558,367475",27,
97,27600,27600043,CHOCÓ,RÍO QUITO,SIN DEFINIR (27600043),INDF,ESRI,NULL,1,"1388,720384",27,
98,27600,27600042,CHOCÓ,RÍO QUITO,SIN DEFINIR (27600042),INDF,ESRI,NULL,1,"478,680145",27,
99,27600,27600041,CHOCÓ,RÍO QUITO,SIN DEFINIR (27600041),INDF,ESRI,NULL,1,"1871,308018",27,
100,27600,27600040,CHOCÓ,RÍO QUITO,SIN DEFINIR (27600040),INDF,ESRI,NULL,1,"1964,023347",27,
102,27600,27600038,CHOCÓ,RÍO QUITO,SIN DEFINIR (27600038),INDF,ESRI,NULL,1,"1011,938834",27,
103,27600,27600037,CHOCÓ,RÍO QUITO,SIN DEFINIR (27600037),INDF,ESRI,NULL,1,"1451,349794",27,
104,27600,27600036,CHOCÓ,RÍO QUITO,SIN DEFINIR (27600036),INDF,ESRI,NULL,1,"2350,747531",27,
105,27600,27600035,CHOCÓ,RÍO QUITO,SIN DEFINIR (27600035),INDF,ESRI,NULL,1,"447,2575555",27,
106,27600,27600034,CHOCÓ,RÍO QUITO,SIN DEFINIR (27600034),INDF,ESRI,NULL,1,"1804,184065",27,
107,27600,27600033,CHOCÓ,RÍO QUITO,SIN DEFINIR (27600033),INDF,ESRI,NULL,1,"2016,843496",27,
108,27600,27600001,CHOCÓ,RÍO QUITO,SIN DEFINIR (27600001),INDF,ESRI,NULL,1,"2465,400008",27,
109,27600,27600032,CHOCÓ,RÍO QUITO,SIN DEFINIR (27600032),INDF,ESRI,NULL,1,"2263,127199",27,
110,27600,27600031,CHOCÓ,RÍO QUITO,SIN DEFINIR (27600031),INDF,ESRI,NULL,1,"1992,810884",27,
111,27600,27600030,CHOCÓ,RÍO QUITO,SIN DEFINIR (27600030),INDF,ESRI,NULL,1,"398,4352943",27,
